,source,target,edge,sentence
26,Thwaites,rapid warming ways,is unlikely,"Such a ""doomsday"" scenario is unlikely to come about for many centuries, but the study team says Thwaites is now responding to a warming world in really quite rapid ways."
27,,a  decade,going,"""There is going to be dramatic change in the front of the glacier, probably in less than a decade."
28,Prof Ted Scambos,Thwaites Glacier Collaboration,said,"Both published and unpublished studies point in that direction,"" said glaciologist Prof Ted Scambos, US lead coordinator for the International Thwaites Glacier Collaboration (ITGC)."
29,dangerous  he,BBC News,told,"""This will accelerate the pace (of Thwaites) and widen, effectively, the dangerous part of the glacier,"" he told BBC News."
30,Thwaites,,is,Thwaites is a colossus.
31,outflow Great speed,30  years,'s,"It's roughly the size of Great Britain, or Florida, and its outflow speed has doubled in the past 30 years."
32,how  this,,established,The ITGC has established how this is happening.
33,floating ice it,warm ocean water,front,"It is the result of warm ocean water getting under - and melting - Thwaites's floating front, or ice shelf as it's known."
34,main glacier body,faster  zone,thinning,"The warm water is thinning and weakening this ice, making it run faster and pushing back the zone where the main glacier body becomes buoyant."
35,western ice which,such  constraint,pinned in,"At the moment, the leading edge of the eastern ice shelf is pinned in place by an offshore underwater ridge, which means its flow speed is a third of that seen in the ice shelf's western sector which has no such constraint."
36,few  which,it,says,But the ITGC team says the eastern shelf is likely to become uncoupled from the ridge in the next few years which will destabilise it.
37,ongoing  development,certainly shelf area,break,"And even if the pinning persists, the ongoing development of fractures in the shelf ice will almost certainly break up the area anyway."
38,just Dr Erin Pettit,Oregon State University,explained,"""I visualise it somewhat similar to that car window where you have a few cracks that are slowly propagating, and then suddenly you go over a bump in your car and the whole thing just starts to shatter in every direction,"" explained Dr Erin Pettit from Oregon State University."
39,further ice that,further ice loss,is,"The affected area is very small when considered in the context of the glacier as a whole, but it is the shift to a new regime and what this means for further ice loss that is the real significance."
40,which,600  year,moves,"At present, the eastern shelf, which has a width of about 40km, moves forward at about 600m per year."
41,coming  change,western ice sector,see,The coming change in status will probably see the following ice jump in speed to about 2km per year - the same as the current velocity recorded in the 80km-wide western sector.
42,five year ITGC project,unprecedented  scrutiny,putting,"Jointly funded by the US National Science Foundation and the UK's Natural Environment Research Council, the five-year ITGC project is putting Thwaites under unprecedented scrutiny."
43,summer season summer teams,way,investigating,"Each Antarctic summer season, teams of scientists are investigating the glacier's behaviour in every way possible."
44,,Thwaites,From,"From satellite, on the ice, and from ships in front of Thwaites."
45,teams,ahead Covid field,are,"Those teams are en route for the new season right now, some in Covid quarantine ahead of their deployment to the field."
46,influence,floating water temperature,see,"One of the projects for the New Year will see the tubby yellow submarine known as ""Boaty McBoatface"" dive under Thwaites' floating ice to gather data on water temperature, current direction and turbulence - all factors that influence melting."
47,autonomous  vehicle,own  shelf,go on,"The autonomous vehicle will go on missions lasting one to four days, navigating its own path through the cavity beneath the shelf."
48,high seafloor terrain,,is high,This is high risk as the seafloor terrain is extremely rugged.
49,It,,'s scary,"""It's scary."
50,back Dr Alex Phillips,National Oceanography Centre,conceded,"We might not get Boaty back,"" conceded Dr Alex Phillips from the UK's National Oceanography Centre."
51,year collision it,seabed,put,"""We've put a lot of effort this past year into developing collision avoidance for the vehicle, to make sure it doesn't crash into the seabed."
52,it,safety,retrace,"We also have contingencies whereby if it does get into trouble, it can retrace its steps and retreat to safety."
53,latest  science,week New Orleans,presented,"""The latest science on Thwaites Glacier is being presented this week at the American Geophysical Union Fall Meeting in New Orleans."
54,thousands,new heat pumps,be costly,"Making your home more energy efficient can be costly and may not be possible if you're renting, or you don't have thousands of pounds stashed away to buy new heat pumps and double glazing."
55,,cheap  money,are,But there are some cheap solutions to try to save money.
56,where  you,simple  bills,looked at,We've looked at where you are likely to be losing the most energy in your home and come up with some simple solutions to help save money on your bills and keep warm this winter.
57,Warm  air,nook,wants,Warm air wants to leave your home and will find any nook and cranny to do so.
58,cold  air,draughts,sucked in,"As it does, cold air is sucked in to replace it, causing draughts."
59,home,energy,makes,It makes your home cold and wastes energy.
60,that,money,be,Shutting doors and closing windows may not be enough as any gaps in the frames allow warm air to escape - and that costs money.
61,thermal  draughts,front  door,show,"On this thermal image, the draughts show up as the coldest areas around a front door."
62,where  heat,thermal  imaging,says,"The coolest temperatures are black, purple and blue and the draughts are shown around the door in these colours, says James Richardson, of IRT Surveys - which uses thermal imaging to help home owners identify where heat is being lost."
63,so escape it,hot escape air,appears warm,"The letter box, often an escape route for hot air, appears warm (red and yellow colours) so it is likely to be well-sealed and insulated."
64,saving  one,draught  excluder,agree,"But by simply adding a draught excluder - or even a rolled up towel - the draughts can be blocked, as we can see in these before and after images:Energy firms and energy-saving campaigners agree one of the simplest solutions to keeping out the cold is to use a draught excluder."
65,draught it,year  bills,help,"Combined with draught-proofing of windows and doors, it could help cut around £25 a year off your bills."
66,attractive household you,always  one,be,"Having a rolled-up towel by the front door may not be the most attractive household feature, but you can always try to make and decorate one yourself."
67,draught  excluder,door,is important,It is important to make sure the draught excluder covers the width of the door.
68,,discarded trouser leg,use,"And for a no-sew method, use strips of the discarded material to make ties and tie up each end of the trouser leg instead."
69,you,similar  fashion,use,If you don't fancy cutting up your jeans you could just use a rectangular piece of material to make a tube and fill in a similar fashion.
70,You,shaped  excluder,end,You'll end up with a more regular-shaped excluder.
71,perhaps Home Energy Scotland,knitted  version,have,"For the really crafty, or Team GB Olympic gold medal-winning divers perhaps, Home Energy Scotland have a pattern for a knitted version."
72,single place heat,single  glass,are,Badly fitting windows or single panes of glass are another place heat is often lost.
73,it,heavy  room,says,"If you can't get windows replaced with double glazing, the Energy Saving Trust says it is worth getting some heavy curtains to help keep the heat in the room."
74,that,you,show,"Again, the thermal images show how closing the curtains traps that heat in with you."
75,available DIY that,plastic  draughts,want,"You may not want to sit in the dark all day, so look out for cheap DIY kits available that use a thin plastic sheet to cover the window, blocking draughts."
76,They,shrink  hairdryer,are,They are sometimes shrink-fitted into place with a hairdryer and can be removed and replaced as required.
77,Insulating,below hat you,is like,Insulating your loft is like wearing a woolly hat - trapping the warmth below to keep you cosy.
78,However  hatch,other  attention,is,"However, that hatch is just like any other door and needs attention too."
79,thermal  heat,frame,surprised by,Even James was surprised by the thermal image showing heat being lost around the frame.
80,easy  it,snugly  edges,'s,"But it's an easy fix, making sure it is snugly insulated around the edges."
81,One  suggestion,then  it,is,"One suggestion online is to glue a plastic bag to the back of the hatch, fill it some of the loft insulation and then seal it up."
82,it,draughts escaping,help,"It should help insulate the hatch and flop over the edges when you pull it shut, stopping draughts escaping."
83,that,rather  anything,are,"There are lots of little things we can do around the home that will help save energy and money that just require tweaks to our behaviour rather than installing, fitting or making anything."
84,free  you,energy use,install,Most energy companies will install a smart meter for free so you can help monitor your energy use and spending.
85,daily  that,energy,are other,But there are other small changes to your daily routine that cost nothing and save energy.
86,obvious  ones,£  to£55,spending less,"The obvious ones are spending less time in the shower (potentially saving about £10 a year), turning off the lights (£14) or turning down the thermostat (saving up to£55)."
87,you,rooms,recommends,"The Eco-Experts blog recommends ""heating the humans, not the building"" - so perhaps don't keep the central heating on all the time if you're not cold, and don't heat rooms you're not in."
88,thick  layers,warm  them,put,"Other ideas include:And finally there is the old favourite - repeated by parents down the ages and still on the advice the elderly by Age UK - if you're cold, put on an extra layer - several thin layers of clothing will keep you warmer than one thick layer, as the layers trap warm air between them."
89,how  you,quiz,check,"Finally ,check how much you know about saving energy with our quiz."
90,recent greenhouse gas emissions,2030,pledged at,Indonesia pledged at the recent COP26 climate summit that its greenhouse gas emissions would peak by 2030 and then start to fall.
91,also  it,same  date,said,It's also said that it will end deforestation by that same date.
92,transport it,forested biofuels land,relying on,"But to reduce emissions from its transport sector, it's relying on using more biofuels - production of which can lead to the loss of forested land."
93,how  it,regular diesel fuel,is,"So how can it both curb its emissions using biofuels and end deforestation by 2030?Indonesia is now the third largest producer of biofuels in the world, behind Brazil and the US, and the world's largest producer of biodiesel - a biofuel alternative to regular diesel fuel."
94,Biofuels,material power heating,come from,"Biofuels come from plant material and animal waste, and can be used to power vehicles or for heating and electricity."
95,traditional fossil they,fewer greenhouse gases,considered,"They are considered a renewable alternative to traditional fossil fuels (coal, petrol and diesel) as they can be replenished quicker and release fewer greenhouse gases."
96,primarily diesel fuel,50 % 2025,produces,"Indonesia produces biodiesel from crops, primarily palm oil, and government policy stipulates that all diesel fuel must contain a mix of at least 30% biodiesel - to rise to 50% by 2025."
97,transport sector,45 energy consumption,accounts for,The transport sector accounts for 13.6% of the country's emissions and 45% of its energy consumption.
98,policy,36 million 36 2040,believes,The government believes this policy could reduce their transport emissions by 36 million tonnes of CO2 by 2040.
99,biofuel  production,three  demand,means,"But taken along with an expected 6% annual growth in its vehicle fleet, it means biofuel production will need to increase by nearly 50% over the next three years to meet demand."
100,This,a palm oil country,require,"This would require a substantial increase in land used for biofuel production, perhaps by as much as 1.2 million hectares - to about a quarter of all palm oil cultivation in the country."
101,which,net  emissions,reduce,"In theory, biofuels should reduce emissions compared with fossil fuels because when biofuel crops grow, they absorb carbon from the atmosphere which is then released through burning - meaning there is no net increase in emissions."
102,then  process,,replanted,The crops can then be replanted and the process started again.
103,such land which,crops,arise because,"However, problems arise because of land clearing such as deforestation, which is needed to grow these crops."
104,Forests,so  crops,are,"Forests are one of the most effective systems at absorbing CO2 from the atmosphere, far more so than crops."
105,this,global greenhouse warming,means less,"Replacing them with biofuel crops means less CO2 is absorbed, and this leads to an increase of greenhouse gases - contributing to global warming."
106,soybean  it,more  diesel,cleared,So when forested land is cleared - as opposed to using existing agricultural land - to grow soybean or palm oil it can end up producing more emissions for each unit of energy than diesel.
107,government,sustainable  forests,tried,The government has tried to implement measures for the sustainable management of its forests.
108,year  it,new palm oil plantations,failed,"However, earlier this year it failed to extend a ban on new palm oil plantations."
109,promise,COP26,pledged,"Indonesia pledged to end deforestation by 2030 at COP26, but afterwards, its environment minister said the promise was ""clearly inappropriate and unfair""."
110,deforestation it,forests,defended,"In a BBC interview in October, Indonesian President Joko Widodo defended his country's deforestation record, and said it had ""rehabilitated a lot of hectares"" of forests."
111,annual  rate,deforestation,'s true,It's true the annual rate of deforestation has come down.
112,Indonesia,new palm oil plantations,continues,"But Indonesia continues to be one of the world's top three countries for the amount of forest loss, primarily because of new palm oil plantations."
113,presidential palm oil plantations,efficient  sunflower,told,"And when approached about this article, Febry Calvin Tetelepta from the presidential office told us palm oil plantations were a more efficient way to produce biofuel than using crops like sunflower and soy bean."
114,same  which,same  oil,said,He said palm oil requires relatively smaller amounts of land for the same quantity of oil - which is correct.
115,60 fuel attitudes,them,are more,"There are more than 60 countries with a requirement for biodiesel in their fuel supply, but attitudes are changing in some of them."
116,global  it,longer palm deforestation,says,"Germany, the fourth largest global producer of biofuels, says that from 2023 it will no longer produce biodiesel from palm oil because of concerns about deforestation."
117,EU,similarly  restrictions,tightened,The EU has similarly tightened its restrictions.
118,successive  which,soybean,reduced,"Brazil - another big user of biofuels - has reduced production this year because of successive droughts, which have lowered yields for soybean and corn."
119,production,diesel  mixes,suspended,Thailand has suspended indefinitely the rollout of diesel and biodiesel mixes because higher crop prices have made production unsustainable.
120,apart palm that,Indonesia,says,"Global Forest Watch says there are around 50 to 60 other, more environmentally friendly plants apart from palm oil, like candlenut and coconut, that could be used in Indonesia."
121,certification issues,sustainable deforestation alternatives,found,"However, research group Carbon Disclosure Project found that certification issues for biofuel production, alongside existing subsidies, encourages producers to continue with deforestation practices as opposed to seeking out sustainable alternatives."
122,it,electric transport emissions,says,Indonesia says it wants to move towards electric vehicles to cut transport emissions.
123,it,electric 2.2 2050,has,But it currently only has a modest plan for 2.2 million electric cars by 2030 and to sell only electric cars and motorcycles by 2050.
124,few 21 thousand,2020,has more,"Indonesia has more than 21 million vehicles on the road, but only a few thousand were electric by the end of 2020."
125,mostly  running,more  diesel,produces,"And given that 90% of Indonesia's electricity is produced from fossil fuels (mostly coal), running an electric vehicle currently produces significantly more emissions than using diesel or petrol."
126,growing Indonesia biofuels,major transportation sector,says given,"Filda Yusgiantoro, director of an Indonesia energy think tank, says given the growing demand for vehicles, ""biofuels.. from palm oil will still play a major role in supplying fuel needs for the transportation sector""."
127,,Additional BBC Indonesian,research by,Additional research by Astudestra Ajengrastri and Nurika Manan from BBC Indonesian
128,glorious autumn I,Tokyo Bay,standing on,It's a glorious autumn afternoon and I'm standing on a hillside looking out over Tokyo Bay.
129,Takao Saiki,mannered  70s,is,"Beside me is Takao Saiki, a usually mild-mannered gentleman in his 70s."
130,today Saiki San,,is angry,But today Saiki-San is angry.
131,total  he,perfect  English,says,"""It's a total joke,"" he says, in perfect English."
132,,,ridiculous,"""Just ridiculous!"
133,cause,fired power making,is,"""The cause of his distress is a giant construction site blocking our view across the bay - a 1.3-gigawatt coal-fired power station in the making."
134,still Saiki friend,still  electricity,says,"""I don't understand why we still have to burn coal to generate electricity,"" says Saiki-San's friend, Rikuro Suzuki."
135,plant,seven million carbon dioxide,emit more,"""This plant alone will emit more than seven million tonnes of carbon dioxide every year!"
136,Suzuki point,,is,"""Suzuki-San's point is a good one."
137,Japan,why coal coal,cutting,"Shouldn't Japan be cutting its coal consumption, not increasing it, at a time of great concern about coal's impact on the climate?So why the coal?"
138,answer,,is,The answer is the 2011 Fukushima nuclear disaster.
139,one  third,lot  more,came from nuclear,"In 2010 about one third of Japan's electricity came from nuclear power, and there were plans to build a lot more."
140,nuclear power plants,,hit,"But then the 2011 disaster hit, and all Japan's nuclear power plants were shut down."
141,,most  them,remain closed,Ten years later most remain closed - and there is a lot of resistance to restarting them.
142,fired power stations,overtime,doing,In their place Japan's gas-fired power stations have been doing a lot of overtime.
143,natural  gas,,is expensive,"But, as Britain has found out recently, natural gas is expensive."
144,Japanese  government,cheap power Australia,decided,"So, the Japanese government decided to build 22 new coal-fired power stations, to run on cheap coal imported from Australia."
145,Economically  it,sense,made,Economically it made sense.
146,,,much,"Environmentally, not so much."
147,Japan,intense  coal,is,Japan is now under intense pressure to stop using coal.
148,old coal answer,burning  hydrogen,is,"Instead of closing the old coal plants and switching to renewables, Japan's answer is to switch to burning hydrogen or ammonia."
149,suddenly Prof Tomas Kaberger,Chalmers Sweden,says,"""The investment made by electric power companies in coal-fired power plants would suddenly be useless without value in their balance sheet,"" says Prof Tomas Kaberger, an expert on energy policy at Chalmers University in Sweden."
150,it,then power banks,create financial,"""And it would create financial difficulties for electric power companies and then for banks and pension funds."
151,that,Japan,is,And that is the challenge for Japan.
152,burning  neither,carbon dioxide,converted to,"""The plants can be quite easily converted to burning hydrogen or ammonia, neither of which produce any carbon dioxide."
153,So  this,good  solution,seems like,So this seems like a good solution.
154,government,bigger  that,has,But Japan's government has much bigger ambitions than that.
155,It,,wants,"It wants to be the world's first ""hydrogen economy""."
156,where  carmaker,,is,This is where the carmaker Toyota comes in.
157,sunny  I,new hydrogen filling station,'s,"It's another lovely sunny day and I'm in downtown Tokyo, at a shiny new hydrogen filling station."
158,Standing,forecourt,is,Standing on the forecourt is a sleek new Toyota Mirai.
159,This,large luxury Lexus,is,"This is a big luxury car, about the size of a large Lexus."
160,I,start  street,slip into,"I slip into the leather-clad cabin, press the ""start"" button and glide out on to the street."
161,only  thing,water,is,"The car is extremely smooth, completely silent, and the only thing dribbling on to the road behind me is a bit of water."
162,which,Japanese,is,The Mirai (which means future in Japanese) is Toyota's first zero-emissions electric car.
163,electric  Mirai,huge  floor,have,"Unlike other electric cars, the Mirai doesn't have a huge battery under the floor."
164,Instead  it,back hydrogen seat,has,"Instead, it has a fuel cell under the bonnet, and hydrogen tanks under the back seat."
165,fuel which,electric  motors,combined with,"Hydrogen is combined with oxygen in a fuel cell to form water, with the reaction releasing energy as electricity, which runs the electric motors."
166,same  that,Moon missions,'s,It's the same technology that was used to power the Apollo spacecraft on the Moon missions.
167,many  technology,many  people,is,To many people this technology is an odd choice.
168,It,more  batteries,'s,It's more expensive and complicated than batteries.
169,Elon Musk,hydrogen cars,called,"Elon Musk has called hydrogen cars ""stupid""."
170,Hisashi Nakai,public affairs division,says,"Not true, says Hisashi Nakai, the head of Toyota's public affairs division."
171,vision,just fuel cars,says,He says the company's vision for fuel cells goes much further than just cars.
172,important  thing,carbon neutrality,tells,"""I know people have different opinions,"" he tells me, ""but the important thing is realising carbon neutrality."
173,how  we,fuel cell technology,need,We need to think about how we can make the most out of fuel cell technology.
174,We,powerful  energy,believe in,We strongly believe in hydrogen as a powerful and important energy.
175,where hydrogen fuel cells,well  cars,says,"""What Nakai-san says shows Toyota is thinking of a future where hydrogen fuel cells are everywhere, in homes and offices and factories, as well as cars."
176,it,new hydrogen society,wants,And it wants to be at the forefront of this new hydrogen society.
177,This,important  question,brings,"This brings us to the final, and most important question."
178,from?The answer,,is,"Where is the hydrogen to power Japan zero carbon society going to come from?The answer is ""blue hydrogen""."
179,renewable  you,green  hydrogen,Make,"Make hydrogen from water using renewable energy and you get ""green hydrogen""."
180,green  hydrogen,,is green,The problem is green hydrogen is really expensive.
181,most  hydrogen,natural  gas,made from natural,"Instead, today most hydrogen is made from natural gas, or even coal."
182,it,greenhouse gases,is cheap,That is cheap but it produces lots of greenhouse gases.
183,greenhouse you,it,allowed,"However, if you capture those greenhouse gases and bury them in the ground, you are allowed to call it ""blue hydrogen""."
184,it,exactly  what,is,This is exactly what Japan says it is going to do.
185,year  Japan,brown  hydrogen,opened,"Earlier this year, Japan and Australia opened a joint project in the state of Victoria to turn a type of coal called lignite, or brown coal, into hydrogen."
186,built  which,Japan,is,"The hydrogen is then liquified to minus 253C, then piped into a specially built ship which carries it to Japan."
187,What,greenhouse site,happens to,What happens to the greenhouse gases produced at the site?
188,now  they,up  atmosphere,go,"Right now, they go straight up into the atmosphere."
189,they,sea coast,promising,"But Japan and Australia are promising that, at some point in the future, they will begin capturing the greenhouse gas produced at the Latrobe Valley site and inject it into the sea floor off the coast."
190,Climate change campaigners,plan,horrified by,Climate change campaigners are horrified by this plan.
191,greenhouse it,brown  decades,say,They say the technology to capture and store greenhouse gases is unproven and it will lock Japan into digging up vast quantities of brown coal for decades to come.
192,biggest Prof hole,plan,is economic,"According to Prof Kaberger, the biggest hole in the plan is economic."
193,always  he,,says,"""Technically it's possible, but it will always be expensive,"" he says."
194,Using,fossil carbon capture,be,"""Using fossil fuels with carbon capture and storage will always be more expensive than using fossil fuels alone, and now in many parts of the world renewable electricity is already cheaper than fossil fuels without carbon capture."
195,now  that,longer  sense,thinks,"""Prof Kaberger thinks the Japanese government chose blue hydrogen a decade ago when renewables were expensive, and they are now locked into a plan that no longer makes sense."
196,internationally  he,clean  electricity,says,"""Japanese companies need cheap electricity to be competitive and they need clean electricity to be internationally acceptable,"" he says."
197,they,renewable  electricity,means,"""That means they need renewable electricity."
198,Delaying,Japanese  economy,harm,Delaying this development will harm the Japanese economy.
199,Tokyo construction,apace,continues,"""In the meantime, on the edge of Tokyo Bay, construction continues apace."
200,fired power station,online  2023,go,The giant new coal-fired power station will go online in 2023.
201,It,40  years,expected,It is expected to run for at least 40 years.
202,old  who,hillside,says,"""I am ashamed of Japan,"" says Hikari Matsumoto, a 21-year-old activist who has joined us to look out from the hillside."
203,so  she,,says,"""I'm so frustrated,"" she says."
204,Japanese  people,out  street,are,"""In other countries young people are out on the street protesting, but Japanese people are so quiet."
205,generation,opinion,needs,"Our generation needs to voice its opinion."""
206,oil  Shell,Cambo oil field development,warned,Business leaders have warned that thousands of oil and gas jobs could be at risk in the UK after Shell pulled out of the Cambo oil field development.
207,domestic  areas,mining 1980s,said,"Aberdeen's Chamber of Commerce said a ""premature"" end to domestic production could see some areas suffer the fate of mining communities in the 1980s."
208,new fossil fuel projects,climate change,say new,Environmentalists say new fossil fuel projects like Cambo are incompatible with action on climate change.
209,it,still  it,said,Cambo's majority stakeholder said it still planned to take it forward.
210,Siccar Point Energy,currently UK field,awaiting,Siccar Point Energy is currently awaiting approval from the UK government to develop the field.
211,other  countries,sustainable  energy,said other,Chief executive Jonathan Roger said other countries including Norway were investing in new oil and gas alongside renewables as part of a transition to sustainable energy.
212,new carbon developments,forward  time,added,"He added: ""The UK is at risk of damaging its economy and increasing imports with a higher carbon impact if new developments are not brought forward during this time."
213,economic  case,investment,said,"""Shell, which has faced widespread criticism over its 30% stake in Cambo, said it now believed the economic case for investment was ""not strong enough""."
214,Greenpeace,death plans,welcomed,"Greenpeace welcomed the announcement, describing it as the ""death blow"" for the plans."
215,Oil industry UK,such  Cambo,needed,But industry body Oil and Gas UK insisted developments such as Cambo were still needed.
216,oil  we,imports,said,"External relations director Jenny Stanning said: ""This is a commercial decision between partners but doesn't change the facts that the UK will continue to need new oil and gas projects if we are to protect security of supply, avoid increasing reliance on imports and support jobs."
217,environmental  decision,end,is,"""It is too early to write the obituary of the North Sea oil and gas industry, despite claims by some environmental campaigners that Shell's decision marks the beginning of the end."
218,this,conventional  economics,'s,"That's because, whatever Shell says in public, this is about reputational cost not conventional economics."
219,good  that,fossil  fuels,is,Battling environmentalists and the Scottish government for the right to drill for oil is not a good look for a company that claims to be transitioning away from fossil fuels.
220,high profile who,bad  prize,reckoned,"But the Cambo oilfield is reckoned to hold hundreds of millions of barrels of oil, each worth some $70 at current prices, and there are lots of less high-profile companies who would be willing to suffer some bad publicity for a cut of that prize."
221,huge tax project,oilfield,is,"So, the real question Shell's decision raises is whether the UK government is willing to put its net-zero ambitions ahead of the huge tax revenues the project could deliver and deny a licence to develop the oilfield."
222,he,UK jobs,called for,"The chief executive of Aberdeen and Grampian Chamber of Commerce called for a ""reasoned debate"" about oil and gas extraction, which he said supported thousands of UK jobs."
223,renewable energy he,jerk climate change,said,"Russell Borthwick said there was enormous potential for the renewable energy sector in the region but he warned against a ""knee jerk"" reaction to climate change."
224,back  what,mining 1980s,told,"He told the BBC's Good Morning Scotland programme: ""If we get this wrong, all of those people and organisations demanding a premature end to domestic oil and gas production might want to be able to reflect back to their role in scripting a repeat of what happened to our mining communities in the 1980s."
225,other UK coal that,high UK coal unemployment,left many,"""The fallout from the 1984/85 miners strike and the long term decline of UK coal mining left many communities facing high unemployment and other problems that were still being felt decades later."
226,,renewable Energy Transition energy,chairs,"Businessman Sir Ian Wood chairs Aberdeen's Energy Transition Zone, a not-for-profit company set up to support the shift to renewable energy."
227,We,crucial energy transition journey,said,"He said: ""We must not create an adverse investment environment at this crucial moment in our energy transition journey."
228,future  prosperity,net  it,depends on,"""The future prosperity of our region and the country's ability to meet net zero, depends on it."
229,less  Cambo,near  term,welcomed,"""Scottish Greens co-leader Patrick Harvie welcomed Shell's announcement and said it made it less likely Cambo would go ahead in the ""near term""."
230,more carbon he,more carbon oil,said,"""It's absurd to suggest that our transition to a zero carbon economy depends on drilling for ever more oil and gas,"" he said."
231,wind energy investment,renewables,said,"He said Scotland had a quarter of Europe's wind energy potential, and that investment should be focused on renewables instead."
232,he,BBC,exporting renewable,"""We could be exporting renewable resources and make that the backbone of Scotland's economy,"" he told the BBC."
233,possibly  this,2  degrees,is,"He continued: ""The idea of keeping global warming below 2 degrees and 1.5 degrees if we possibly can - this is not optional."
234,This,,is,"""This is not a normal political choice."
235,This,critical  survival,is,This is mission critical for our survival.
236,it,now  transition,is,"""It is humanity's only survival strategy and we need to invest now in the transition that has to be fair, but it has to be fast."
237,First Minister,offshore turbine tower factory,visited,"""Scotland's First Minister Nicola Sturgeon visited the Highlands on Friday for an announcement on plans for a major offshore wind turbine tower factory."
238,that,economic  Cambo,said,"She said Shell had made ""a commercial decision"" and that it was ""for others to determine what that means in terms of the economic viability"" of Cambo."
239,green  it,rigorous climate assessment,subjected to,"""I have made my views clear that it shouldn't be given the green light, it should be subjected to a very rigorous climate assessment."
240,it,low carbon alternatives,illustrate,"""But it does illustrate the importance of accelerating that transition from fossil fuels to low carbon alternatives."
241,we,oil,saying,"""Nobody is saying that we can shut oil and gas off overnight."
242,least  we,currently scrap heap,saying,"We cannot do that and nobody is saying, least of all me, that we leave those currently working in oil and gas on the scrap heap."
243,environmental impact assessment,final  drilling,insists,"""The UK government, which makes the final decision on whether to allow drilling, insists an environmental impact assessment will be carried out but appears far more supportive."
244,100  %,go ahead,said,"Scottish Secretary Alister Jack has said the new field should ""100%"" get the go-ahead."
245,oil Sea transition we,oil Sea transition that,said,"On Friday, Energy Minister Greg Hands said the UK government ""continues to have a very strong commitment to the oil and gas sector and to the North Sea transition deal that we did a year ago."
246,gas,UK continental UK,be,"""For some years to come we will be very dependent as a country on gas in particular, and we need to make sure that the gas continues to come from the UK continental shelf to the UK."
