,subject,relation,object,sentence,subject_type,object_type
43,Country,But,steel,"But if Country A then imports steel from Country B,",NOUN_CHUNK,NOUN_CHUNK
44,Plants,absorb,up to a third,Plants and trees absorb up to a third of our CO2 emissions from the atmosphere each year.,NOUN_CHUNK,CARDINAL
45,urban areas,recording,massive reductions,"In a short space of time, urban areas were recording massive reductions in a range of pollutants associated with internal combustion engines.",NOUN_CHUNK,NOUN_CHUNK
46,Data,shows,marked reductions,Data collected by the UK's National Centre for Atmospheric Science shows marked reductions in nitrogen dioxide (NO2) and in particulate matter (PM2.5) across 10 cities.,NOUN_CHUNK,NOUN_CHUNK
47,Lake Oroville,plays,key role,Lake Oroville plays a key role in northern California's complex water delivery system.,GPE,NOUN_CHUNK
48,river systems,replenished by,reservoir,"Traditionally, Lake Oroville was replenished by meltwater from a thawing snowpack in surrounding mountains, whose river systems fed the reservoir.",NOUN_CHUNK,NOUN_CHUNK
49,reservoir,reached,capacity,"the reservoir had reached capacity in February, rather than the middle of the year, as usually happened.",NOUN_CHUNK,NOUN_CHUNK
50,local traders,noticed,visible drop,"As news of the low waters spread, local traders noticed a visible drop in tourist numbers.",NOUN_CHUNK,NOUN_CHUNK
51,Areas,include,water supplies,"Areas of concern include water supplies, health, food security, droughts and floods, biodiversity.",NOUN_CHUNK,NOUN_CHUNK
52,17-year-old Ms Sharma,made,history,At that moment 17-year-old Ms Sharma and the seven other teenagers involved in Anjali Sharma case had made history.,PERSON,NOUN_CHUNK
53,Sussan Ley,approved,extension,"Yet in September Sussan Ley approved the extension of the Vickery coal mine, as well as three others since then.",PERSON,NOUN_CHUNK
54,Sister Arthur,spent,lifetime,Sister Arthur has spent a lifetime working with young people.,PERSON,NOUN_CHUNK
55,Sister Arthur,take,convincing,Sister Arthur didn't take much convincing.,PERSON,NOUN_CHUNK
56,success,signal,erosion,A success in their case could signal an erosion in support for fossil fuel burning and extraction with more lawsuits of this kind ahead.,NOUN_CHUNK,NOUN_CHUNK
57,Su-Laine,editing,Wikipedia pages,"her home in Canada, Su-Laine has been editing Wikipedia pages for 15",PERSON,NOUN_CHUNK
58,Actor,mobbed by,building,"Actor and environmental campaigner Leonardo DiCaprio was mobbed by journalists, fans and delegates as Actor and environmental campaigner Leonardo DiCaprio entered the building.",NOUN_CHUNK,NOUN_CHUNK
59,Glaswegians,expressed,mock surprise,"Glaswegians expressed mock surprise at sightings of the Hollywood superstar and other famous faces, with one local tweeting: ""President of the USA outside Greggs and Leonardo DiCaprio in Maryhill.",ORG,NOUN_CHUNK
60,actor,expressed,concern,"actor expressed concern himself about this in actor 2016 documentary for National Geographic, Before the Flood.",NOUN_CHUNK,NOUN_CHUNK
